date,strategy,qqq_bh,tqqq_bh,spy_bh,gld_bh,blend_6040,spxl_strategy,spxl_bh
2010-09-16,81165.71752101497,71265.81916474437,77688.56754804503,68457.16878230819,74897.11157914325,68603.29185239074,68823.89471096307,70089.14052120179
2010-09-17,82156.76551631607,71507.19989105435,78515.7123452802,68482.74929442885,74843.02776377572,68654.41628258131,68954.8551136247,70172.51184273316
2010-09-20,87360.87046774526,73258.8364406598,83106.11812949802,70029.86292250273,75541.34425664676,69792.9001135718,73456.29592790605,73896.27912027577
2010-09-21,87103.99723860214,73243.84265918731,82844.21637365113,69888.84125323742,76230.99817233194,69826.65297863101,72977.833497719,73462.57811737416
2010-09-22,86725.6194358852,73048.79243552162,82451.22456862044,69545.4551262793,76345.93741462764,69628.35703169907,71634.91343207372,72315.9773574916
2010-09-23,89677.05518555499,73018.79176612431,82204.40897739759,68981.33136915253,76406.4370969154,69320.75509051674,70714.30516563449,70577.79719054961
2010-09-24,95496.22258291069,74504.07392388559,86859.37218189219,70403.87718359813,76642.37108830886,70071.35133424567,75902.37637166874,74797.07984229489
2010-09-27,94915.42005282466,74599.01901443872,86365.04919505803,70566.65252753082,77160.5191468041,70464.23047470374,75471.29581560049,74512.07284108312
2010-09-28,95242.44665788798,74568.76972657589,86582.03944358104,70813.65640696335,77848.5808092747,70679.8261146145,76724.07855400801,75443.45565423215
2010-09-29,94392.7145385053,74447.95070615454,85884.64144502726,70690.15757930302,77909.47044076731,70585.00611067323,76099.44872346616,74935.45539365703
2010-09-30,94836.94539608988,74115.67036085225,84721.72974584241,70480.18716547774,77885.11830463515,70448.66350870553,76759.9618895477,74441.51427951266
2010-10-01,94556.67475201398,74025.03465383819,84458.28424800118,70776.61049313236,78494.02391072345,70594.02971168715,77996.35796116552,75288.22592782996
2010-10-04,91118.26271916635,73724.5204027125,82028.23464882646,70745.5070275414,78720.01824621616,70822.12680539834,76252.90374722233,74094.78926698772
2010-10-05,97466.94105048802,75518.97713703908,88134.81956492102,72169.77854356851,80270.3961043831,71676.6897150146,81432.95856605837,78513.497636657
2010-10-06,94823.53252525926,74865.07000355184,85888.75713911888,72163.53520279741,80772.8854939108,71701.72644527056,81637.76681316411,78357.18637581072
2010-10-07,95895.6603692402,75138.80722174926,86730.89675064922,72076.46065796685,79890.45506780481,71662.55911839582,81330.94231907328,78101.43366897902
2010-10-08,97920.31061896343,75655.8457461378,88478.02823937296,72480.75458338165,80680.96955392201,71962.69782941525,83053.24704388643,79479.6117391159
2010-10-11,101096.54750187731,76186.27501564914,89157.41164772259,73049.1555216288,81567.02585242833,72488.04239866853,85944.74732925577,80292.2163208038
2010-10-12,103386.12961269326,76706.70914989285,91008.38502947008,73274.58118377163,81363.56357533284,72594.33786732546,87067.7883518539,81092.85024929956
2010-10-13,106138.19571923553,77334.33258979677,93219.8275221781,73844.46326632674,82664.54235731019,72933.6081714842,89523.61135078658,82837.07523371374
2010-10-14,106126.66733371861,77181.24130775599,92702.42744348485,73556.37588468133,83083.81050289808,72655.34172771013,89019.85888881586,82065.01828876515
2010-10-15,113053.04835553975,78819.18296078203,98615.80725739134,73706.69963300857,82424.0681224743,72687.58162841221,90545.29263151952,82422.4381859543
2010-10-18,113841.2444336336,79028.35231771573,99115.80725739134,74569.9141749319,83294.01835182549,73505.64410418988,91999.99973369238,83437.16688581563
2010-10-19,108796.92460328488,78288.90802865573,95174.45397608637,73592.69846885304,80707.36429188547,72943.18540756317,87996.56960589273,80618.02272914059
2010-10-20,110984.81911429037,78858.86353117607,97153.13557567974,74311.40538651649,81457.93267397444,73408.90528470888,91125.13373200438,83005.62825805826
2010-10-21,111969.01614257762,79012.92283591743,97830.8761124473,74475.30617280037,80310.37202653589,73462.15976294386,91984.4976494896,83552.20026620892
2010-10-22,114424.56953918657,79552.09339328854,99738.43837321078,74614.03153397543,80471.6468807259,73558.64386464604,92948.07073379781,84156.31620643665
2010-10-25,116697.1146227212,80437.22483276755,101751.88333716801,75334.67551718555,81666.39044386934,74193.6825575744,94666.33279098474,85490.54431058498
2010-10-26,118336.16263007687,80654.25693692904,102361.76717659643,75347.35372989159,81685.11334725966,74134.50542977861,95776.3315112429,85461.5893777854
2010-10-27,119621.76992233444,80902.27331428314,103415.49507931214,75131.59383353674,80836.30680795384,73948.93244468396,95074.82270610111,84897.34268416991
2010-10-28,120546.01809390314,81072.80869553954,104009.56651501614,75144.28483959568,81909.79771129203,74028.6948124506,95339.71135712886,84984.15267827944
2010-10-29,120071.37887718588,80886.79471976428,103510.38857572823,75201.42635024311,82771.07983729233,74124.4255010355,95827.1599124584,85302.44685596615
2010-11-01,121018.7562319224,81448.7903503044,104248.28990920556,75726.77637897879,82834.19621927064,74627.86524581022,96485.43536404673,85802.44685596615
2010-11-02,124168.02667578979,82322.226471527,107408.12032061585,76327.34053615297,83192.11085841648,75039.42885275553,99275.67231398253,87839.8311109354
2010-11-03,126101.48088983314,82696.52509325463,108960.22087698618,76634.00063480806,82614.43264506334,75218.02740304836,101001.14584979358,88960.37683226992
2010-11-04,134024.71013220222,83710.36748122613,112820.91337065364,78109.83777514382,85414.9163659097,76243.79448852752,110089.63994924181,93733.64086142475
2010-11-05,134953.06760036835,83710.36748122613,112956.02404799098,78403.70963770096,85634.68952129911,76339.19979173088,112111.79859780925,95057.93970839602
2010-11-08,136359.54962678952,84319.5504028098,113742.68024284112,78756.74794965281,87013.76298049257,76737.51620117362,112261.46319071928,95135.93544421477
2010-11-09,134238.4133772156,83864.5258611041,111903.76496604047,78190.95000145235,85630.68593700622,76254.13292071088,108900.17893924269,92912.23575594167
2010-11-10,136446.33302439484,84288.17507179706,113614.71176021843,78506.01735277016,86672.73490510491,76418.71865405963,111060.24629502847,94155.74200292789
2010-11-11,134242.5556222372,83754.70534905777,111703.89542548687,78210.24843564937,86937.98110519661,76238.56590327785,109978.51491042679,93394.98051778835
2010-11-12,127446.8154526494,82389.65228444594,106019.75584696226,77284.37073722832,84430.76127422623,75566.2518415267,105531.22666250673,89766.86274062318
2010-11-15,126726.3710110034,82575.85785330806,105384.4506551348,77675.08638722886,84128.70109330588,75840.48649462649,105671.3906478044,89915.76052743245
2010-11-16,119684.17711949072,81218.29980191732,100155.0521661016,76464.9354182249,83207.49310711304,75185.45473916196,98390.39286742265,85693.63032652673
2010-11-17,122996.6625529953,81455.06899158152,101102.67446446624,76503.76930239785,82832.65829180653,75216.95628698223,99930.81413140998,86061.42626562761
2010-11-18,128003.76547003051,82765.29113269663,105802.14953522103,77629.7693184963,83919.045257413,75884.3550793248,105034.17831660349,89856.92246495254
2010-11-19,129267.70025519007,82828.44475282983,106051.06673308302,77843.36220376601,83988.93053604396,76045.33190693373,106501.03589699497,90621.91015495364
2010-11-22,133238.36237942823,84023.01045974532,109346.68017302293,78278.6216706285,85302.13576329275,76577.58535822365,107797.2024404104,91121.91015495366
